Scenario,MeatType,NokPerTonne
Scenario 1,Beef,195896060
Scenario 1,Pork,195896060
Scenario 1,Lamb,195896060
Scenario 1,Chicken,195896060
Scenario 2,Beef,14918943
Scenario 2,Pork,14918943
Scenario 2,Lamb,14918943
Scenario 2,Chicken,14918943
Scenario 3,Beef,1306646
Scenario 3,Pork,1306646
Scenario 3,Lamb,1306646
Scenario 3,Chicken,1306646
Scenario 4,Beef,1017399
Scenario 4,Pork,1017399
Scenario 4,Lamb,1017399
Scenario 4,Chicken,1017399
Scenario 5,Beef,154885
Scenario 5,Pork,154885
Scenario 5,Lamb,154885
Scenario 5,Chicken,154885
Scenario 6,Beef,70175
Scenario 6,Pork,70175
Scenario 6,Lamb,70175
Scenario 6,Chicken,70175
Scenario 7,Beef,62555
Scenario 7,Pork,62555
Scenario 7,Lamb,62555
Scenario 7,Chicken,62555
Scenario 8,Beef,56178
Scenario 8,Pork,56178
Scenario 8,Lamb,56178
Scenario 8,Chicken,56178
