Activity,kgCO2EquivPerUnitAgri,kgCO2EquivPerUnitNonLULUCF,kgCO2EquivPerUnitTotal
Barley,1081.43,1287.47,3854.09
Oats,923.03,1129.07,3695.69
Wheat,1111.97,1318.01,3884.63
Rye & triticale,989.45,1195.49,3762.11
Oilseeds,545.17,751.21,3317.83
Potatoes,19626.29,20181.98,22748.6
Vegetables,13596.68,13848.17,16414.79
Green fodder & silage,1262.35,1262.35,3381.52
Other crops,763.59,969.63,3536.25
Orchards,408.01,1184.63,3751.25
Berries,554.71,1331.33,3897.95
Dairy cows,4592.23,5012.87,5012.86
Beef cows,2988.13,3174.96,3174.95
Other cattle,1652.47,1780.91,1780.95
Sheep,226.49,239.98,239.94
Pigs,108.7,114.26,114.26
Broilers,1.01,1.11,1.11
Laying hens,1.01,1.43,1.43
